date,duration(HH:mm:ss),speed(km/h),grade(%)
24-NOV-2023,00:03:00,4.5,0
24-NOV-2023,00:03:00,4.7,0
23-SEP-2023,00:02:00,4.3,0.05
04-AUG-2023,00:02:00,4.5,0
04-AUG-2023,00:01:00,4.5,0
25-JUL-2023,00:03:00,4.4,0
10-JUL-2023,00:04:00,4.4,0
10-JUL-2023,00:04:00,4.4,0
22-JUN-2023,00:03:00,4.4,0
21-JUN-2023,00:03:00,4.4,0
03-JUN-2023,00:03:30,4.4,0
17-MAY-2023,00:03:00,4.2,0
17-MAY-2023,00:03:00,4.3,0
17-MAY-2023,00:03:00,4.3,0
09-MAY-2023,00:03:00,4.1,0
09-MAY-2023,00:03:00,4.2,0
07-MAY-2023,00:03:00,4.1,0
30-APR-2023,00:02:00,4.1,0
30-APR-2023,00:02:00,4.1,0
30-APR-2023,00:03:00,4.1,0
